Page;Matricule du point
1;B 243
2;B 246
3;B 409
4;B 244
5;B 270
6;B 149
7;B 274
8;B 447
9;B 255
10;B 251
11;B 277
12;B 279
13;B 208
14;B 443
15;B 260
16;B 259
17;B 249
18;B 241
19;B 261
20;B 262
21;B 278
22;B 254
23;B 248
24;B 266
25;B 264
26;B 269
27;B 258
28;B 275
29;B 256
30;B 438
31;B 449
32;B 242
33;B 250
34;B 265
35;B 252
36;B 268
37;B 247
38;B 437
39;B 272
40;B 245
41;B 273
42;B 271
43;B 263
44;B 253
45;B 111
