Page;Matricule du point
1;B 160
2;B 167
3;B 158
4;B 164
5;B 184
6;B 148
7;B 181
8;B 177
9;B 175
10;B 174
11;B 178
12;B 186
13;B 193
14;B 173
15;B 171
16;B 191
17;B 170
18;B 159
19;B 151
20;B 157
21;B 152
22;B 153
23;B 162
24;B 155
25;B 150
26;B 189
27;B 166
28;B 335
29;B 187
30;B 185
31;B 180
32;B 161
33;B 190
34;B 156
35;B 176
36;B 194
37;B 182
38;B 154
39;B 169
40;B 163
41;B 179
42;B 168
43;B 165
