Page;Matricule du point
1;B 348
2;B 333
3;B 346
4;B 421
5;B 350
6;B 329
7;B 351
8;B 343
9;B 358
10;B 359
11;B 324
12;B 345
13;B 334
14;B 323
15;B 326
16;B 362
17;B 356
18;B 321
19;B 317
20;B 337
21;B 355
22;B 322
23;B 339
24;B 327
25;B 331
26;B 344
27;B 349
28;B 365
29;B 336
30;B 357
31;B 352
32;B 338
33;B 347
34;B 435
35;B 353
36;B 340
