page;Matricule du point
1;B 234
2;B 231
3;B 237
4;B 199
5;B 206
6;B 217
7;B 214
8;B 207
9;B 227
10;B 209
11;B 225
12;B 205
13;B 230
14;B 229
15;B 236
16;B 204
17;B 228
18;B 197
19;B 202
20;B 284
21;B 203
22;B 506
23;B 220
24;B 195
25;B 240
26;B 222
27;B 226
28;B 232
29;B 238
30;B 239
31;B 200
32;B 224
33;B 198
34;B 218
35;B 510
36;B 219
